Banco,Produto,Prazo (meses),TANB (%),Mínimo (€),Máximo (€),Só novos clientes,Só novos montantes,Mobilização antecipada,IRS aplicável,Taxa IRS,Notas / condições,Validação rápida,Observação de validação,Fonte oficial / referência,Data de referência
Banco Carregosa,Welcome Boost,3,2.5,1000.0,150000.0,Sim,Não,Sim,Sim,0.28,"Canal NextGen, para até 30 anos",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.bancocarregosa.com/pt/solucoes-de-poupanca-e-investimento/depositos-a-prazo/,2026-05-08
Banco Invest,Invest Choice Novos Montantes,3,2.5,2000.0,150000.0,Não,Sim,Sim,Sim,0.28,Exclusivo para novos montantes. Montante máximo agregado 150.000 €. Mobilização antecipada com penalização de 100% dos juros.,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bancoinvest.pt/docs/default-source/aplicacoesprazo/invest_choice_novos_depositos_20260417.pdf,2026-05-08
Banco Atlântico Europa,DP Global Living,6,2.5,2500.0,100000.0,Não,Sim,Sim,Sim,0.28,"4,99€/mês manutenção",Prazo diferente na tabela,"Classificado em 2026-05-08. Produto encontrado na tabela secundária, mas com prazo 6M em vez de 3M. Atualizei prazo para 6M e TANB para 2.50%. Confirmar contra FIN/página oficial.",https://www.atlantico.eu/particulares/poupanca/prazo-fixo,2026-05-08
Banco BAI Europa,Depósito a Prazo,6,2.5,1000.0,10000000.0,Não,Não,Não,Sim,0.28,"2,10% com mobilização antecipada",Alteração detetada,Atualizado em 2026-05-08 a partir de tabela secundária. TANB anterior 2.40%; tabela indica 2.50%. Requer confirmação contra FIN/página oficial antes de ser marcado como validado oficial.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
Banco BAI Europa,Depósito a Prazo Novos Clientes,6,2.5,2500.0,10000000.0,Sim,Não,Não,Sim,0.28,"+0,05% ou +0,10% para subscritores Proteste",Alteração detetada,Atualizado em 2026-05-08 a partir de tabela secundária. TANB anterior 2.40%; tabela indica 2.50%. Requer confirmação contra FIN/página oficial antes de ser marcado como validado oficial.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
Banco BiG,Super Depósito 6 Meses,6,2.5,10000.0,50000.0,Sim,Não,Sim,Sim,0.28,"+0,10% para ACP e ordens profissionais-",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.big.pt/TaxasDepositos/DepositosPrazo,2026-05-08
Banco Finantia,Depósito a Prazo Jump,6,2.5,50000.0,500000.0,Não,Sim,Não,Sim,0.28,,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-08
Banco Invest,Invest Choice Novos Montantes,6,2.5,2000.0,150000.0,Não,Sim,Sim,Sim,0.28,Exclusivo para novos montantes. Montante máximo agregado 150.000 €. Mobilização antecipada com penalização de 100% dos juros.,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bancoinvest.pt/docs/default-source/aplicacoesprazo/invest_choice_novos_depositos_20260417.pdf,2026-05-08
Openbank,Depósito Open 6 Meses Novos Clientes Tri,6,2.5,1.0,,Sim,Não,Sim,Sim,0.28,"Juros trimestrais. Fonte oficial confirma 2,50% TANB a 6 meses para novos clientes; TANB em mobilização antecipada pode ser inferior.",Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.openbank.pt/depositos-a-prazo,2026-05-08
Bison Bank,DP Bison Rendimento Premium,24,2.5,25000.0,250000.0,Não,Sim,Sim,Sim,0.28,,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bisonbank.com/pt-pt/servicos-de-private-banking/dp-bison-rendimento-premium/,2026-05-08
Banco Português de Gestão (BPG),BPG Save,9,2.4,5000.0,250000.0,Não,Não,Não,Sim,0.28,Juros trimestrais com opção de capitalização,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bpg.pt/deposito-a-prazo,2026-05-08
Haitong Bank,Depósito a Prazo Haitong,12,2.4,,,Não,Não,Ver notas,Sim,0.28,Sem limite mínimo/máximo. Taxa não mobilizável; taxa mobilizável indicada nas condições do banco. Confirmar se há protocolo/condição especial aplicável.,Atualizado por tabela secundária,Classificado em 2026-05-08. Produto genérico por banco/prazo alinhado com tabela secundária. Requer confirmação contra FIN/página oficial.,https://www.haitongib.com/pt/poupanca/depositos-a-prazo-haitong/,2026-05-08
Banco BAI Europa,Depósito a Prazo,3,2.3,1000.0,10000000.0,Não,Não,Não,Sim,0.28,"2,00% com mobilização antecipada",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
Banco BAI Europa,Depósito a Prazo Novos Clientes,3,2.3,2500.0,10000000.0,Sim,Não,Não,Sim,0.28,Novos clientes. Sem mobilização antecipada. Montante mínimo 2.500 € e máximo 10.000.000 €.,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
Banco Finantia,Depósito a Prazo Rendimento,6,2.3,50000.0,500000.0,Não,Não,Ver notas,Sim,0.28,"2,00% com mobilização antecipada",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-08
Banco Finantia,Depósito a Prazo Rendimento,12,2.3,50000.0,500000.0,Não,Não,Ver notas,Sim,0.28,"Juros semestrais 2,05% com mobiliza ao antecipada",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-08
Banco Finantia,Depósito a Prazo Rendimento,24,2.3,50000.0,500000.0,Não,Não,Ver notas,Sim,0.28,"Juros semestrais. 2,15% com mobilização antecipada",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.finantia.com/pt/banca-privada/depositos-a-prazo/,2026-05-08
Haitong Bank,Depósito a Prazo Haitong,24,2.3,,,Não,Não,Ver notas,Sim,0.28,Sem limite mínimo/máximo. Taxa não mobilizável; taxa mobilizável indicada nas condições do banco. Confirmar se há protocolo/condição especial aplicável.,Atualizado por tabela secundária,Classificado em 2026-05-08. Produto genérico por banco/prazo alinhado com tabela secundária. Requer confirmação contra FIN/página oficial.,https://www.haitongib.com/pt/poupanca/depositos-a-prazo-haitong/,2026-05-08
Bison Bank,DP Bison Rendimento Premium,12,2.25,25000.0,250000.0,Não,Sim,Sim,Sim,0.28,,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bisonbank.com/pt-pt/servicos-de-private-banking/dp-bison-rendimento-premium/,2026-05-08
Banco BNI Europa,Depósito a Prazo,24,2.25,2500.0,,Não,Não,Ver notas,Sim,0.28,"Montante mínimo 2.500 €. Existem modalidades não mobilizáveis, mobilizáveis e juros mensais. Confirmar modalidade na FIN.",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Banco CTT,DP Novos Montantes,24,2.25,5000.0,100000.0,Não,Sim,Sim,Sim,0.28,Novos montantes. Mobilização antecipada total ou parcial com penalização total dos juros sobre o montante mobilizado. Renovação automática.,Prazo diferente na tabela,"Classificado em 2026-05-08. Produto encontrado na tabela secundária, mas com prazo 24M em vez de 6M. Atualizei prazo para 24M e TANB para 2.25%. Confirmar contra FIN/página oficial.",https://www.bancoctt.pt/as-suas-poupancas/dp-novos-montantes,2026-05-08
Banco BNI Europa,Depósito a Prazo,36,2.25,2500.0,,Não,Não,Ver notas,Sim,0.28,"Montante mínimo 2.500 €. Existem modalidades não mobilizáveis, mobilizáveis e juros mensais. Confirmar modalidade na FIN.",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Banco BNI Europa,Depósito a Prazo,48,2.25,2500.0,,Não,Não,Ver notas,Sim,0.28,"Montante mínimo 2.500 €. Existem modalidades não mobilizáveis, mobilizáveis e juros mensais. Confirmar modalidade na FIN.",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Banco BNI Europa,Depósito a Prazo,60,2.25,2500.0,,Não,Não,Ver notas,Sim,0.28,"Montante mínimo 2.500 €. Existem modalidades não mobilizáveis, mobilizáveis e juros mensais. Confirmar modalidade na FIN.",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Banco BNI Europa,Depósito a Prazo,12,2.2,2500.0,,Não,Não,Ver notas,Sim,0.28,"Montante mínimo 2.500 €. Existem modalidades não mobilizáveis, mobilizáveis e juros mensais. Confirmar modalidade na FIN.",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Bankinter,Depósito TOP Premier,3,2.15,50000.0,500000.0,Não,Sim,Sim,Sim,0.28,,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bankinter.pt/poupar-investir-no-bankinter/poupar,2026-05-08
Banco BAI Europa,Depósito a Prazo Premium EUR,12,2.15,2500.0,10000000.0,Não,Não,Sim,Sim,0.28,0.05% ou +0.10% para subscritores Proteste,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
Banco Português de Gestão (BPG),BPG Valor,12,2.15,5000.0,750000.0,Não,Não,Sim,Sim,0.28,,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bpg.pt/deposito-a-prazo,2026-05-08
Banco BNI Europa,Depósito a Prazo,6,2.1,2500.0,,Não,Não,Ver notas,Sim,0.28,"2,05% com juros mensais 1,95% com mobilização antecipada",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://bnieuropa.pt/particulares/depositos-a-prazo/,2026-05-08
Banco BAI Europa,Depósito a Prazo Premium EUR,24,2.1,2500.0,10000000.0,Não,Não,Sim,Sim,0.28,,Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://depositosaprazo.bancobaieuropa.pt/,2026-05-08
ActivoBank,Depósito Crescente 3 anos AB,36,2.08,5000.0,,Não,Não,Sim,Sim,0.28,"1,50%, 1,75%, 3,00% no primeiro, segundo, terceiro ano - Juros anuais com possibilidade de capitalização",Atualizado por tabela secundária,Classificado em 2026-05-08. Tabela secundária alinhada com TANB existente. Manter validação oficial/human-in-the-loop antes de decisão real.,https://www.activobank.pt/depositos-prazo-poupancas,2026-05-08
Banco Português de Gestão (BPG),BPG Valor,6,2.05,5000.0,750000.0,Não,Não,Sim,Sim,0.28,,Não encontrado na tabela secundária,Revisto em 2026-05-08; produto não foi encontrado automaticamente na tabela secundária. Manter valor anterior e rever manualmente.,https://www.bpg.pt/deposito-a-prazo,2026-05-08
