Banco|Produto|Tipo Fonte|URL|Campo a validar|Estado auditoria|Ativo|Notas auditoria
Banco BiG|Super Depósito 6 Meses|FIN/PDF|https://www.big.pt/TaxasDepositos/DepositosPrazo/FIN?DepositCode=PTDP2025075|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado parcial|Sim|FIN oficial abre. Produto 6M. Usar como controlo manual.
Banco Invest|Invest Choice Novos Montantes|FIN/PDF|https://www.bancoinvest.pt/docs/default-source/aplicacoesprazo/invest_choice_novos_depositos_20260417.pdf|TANB;Prazo;Mínimo;Máximo;Novos montantes;Mobilização;Renovação|Validado|Sim|FIN oficial validada. Produto 3M e 6M TANB 2.50 por cento.
Banco Invest|Aplicações a Prazo|Página oficial|https://www.bancoinvest.pt/poupanca-e-investimento/depositos/aplicacoes-a-prazo|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado parcial|Sim|Página oficial encontrada. Usar como página índice.
Banco Invest|Invest Depósito a Prazo|FIN/PDF|https://www.bancoinvest.pt/docs/default-source/aplicacoesprazo/invest_deposito_a_prazo_20260109.pdf|TANB;Prazo;Mínimo;Máximo;Mobilização|Por auditar|Sim|Ainda não validado totalmente.
Banco CTT|DP Novos Montantes|Página oficial|https://www.bancoctt.pt/as-suas-poupancas/dp-novos-montantes|TANB;Prazo;Mínimo;Máximo;Mobilização;Renovação|Validado|Sim|Página oficial confirma produto DP Novos Montantes. Usar como fonte principal.
Bankinter|Depósito Net Boas-Vindas|Página oficial|https://www.bankinter.pt/poupar-investir-no-bankinter/poupar/deposito-net-boas-vindas|TANB;Prazo;Novos clientes;Mobilização|Validado|Sim|Página oficial confirma Depósito Net Boas-Vindas. Site pode bloquear validação automática com erro 403.
Bankinter|Depósito TOP Premier|Página oficial|https://www.bankinter.pt/poupar-investir-no-bankinter/poupar/deposito-top-premier|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial confirma Depósito TOP Premier. Site pode bloquear validação automática com erro 403.
Openbank|Depósito Open 6 Meses Novos Clientes Tri|Página oficial|https://www.openbank.pt/depositos-a-prazo-juros-6-meses|TANB;Prazo;Mínimo;Novos clientes;Pagamento de juros|Validado|Sim|Página oficial confirma Depósito Open 6 Meses Novos Clientes. Usar como fonte principal.
Openbank|Depósito Open 6 Meses Novos Clientes Tri|Página oficial secundária|https://www.openbank.pt/depositos-a-prazo-novos-clientes|TANB;Prazo;Novos clientes|Validado|Sim|Página oficial secundária para confirmação do produto.
Caixa Geral de Depósitos (CGD)|DP Boas Vindas|Página oficial|https://www.cgd.pt/Particulares/Poupanca-Investimento/Depositos-a-Prazo-e-Poupanca/Pages/dp-boas-vindas.aspx|TANB;Prazo;Mínimo;Máximo;Renovação|Validado|Sim|Página oficial CGD para DP Boas Vindas. Usar como fonte principal.
Caixa Geral de Depósitos (CGD)|DP Boas Vindas|FIN/PDF|https://www.cgd.pt/_layouts/15/CaixatecCGDLayoutsV2/fin.aspx?moe=EUR&pfc=264&pff=401|TANB;Prazo;Mínimo;Máximo;Novos clientes|Validado|Sim|FIN oficial CGD para DP Boas Vindas. Usar como controlo.
Banco Português de Gestão (BPG)|BPG Start|Página oficial|https://www.bpg.pt/deposito-a-prazo/particulares/bpg-start|TANB;Prazo;Mínimo;Máximo;Mobilização;Pagamento de juros|Validado|Sim|Página oficial confirma BPG Start. Usar como fonte principal.
Banco Português de Gestão (BPG)|BPG Save|Página oficial|https://www.bpg.pt/deposito-a-prazo/particulares/bpg-save|TANB;Prazo;Mínimo;Máximo;Mobilização;Renovação|Validado|Sim|Página oficial confirma BPG Save. Usar como fonte principal.
Banco Português de Gestão (BPG)|BPG Valor|Página oficial|https://www.bpg.pt/deposito-a-prazo/particulares-empresas-e-instituicoes/bpg-valor|TANB;Prazo;Mínimo;Máximo;Mobilização;Renovação|Validado|Sim|Página oficial confirma BPG Valor para Particulares, Empresas e Instituições. Usar como fonte principal.
Haitong Bank|Depósito a Prazo Haitong|Página oficial|https://www.haitongib.com/pt/poupanca/depositos-a-prazo-haitong/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial Haitong para depósitos a prazo. Usar como fonte principal.
Banco Finantia|Depósito a Prazo Jump|Página oficial|https://www.finantia.com/pt/banca-privada/depositos-a-prazo/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial Finantia. Usar como fonte principal para Jump.
Banco Finantia|Depósito a Prazo Visão|Página oficial|https://www.finantia.com/pt/banca-privada/depositos-a-prazo/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial Finantia. Usar como fonte principal para Visão.
Banco Finantia|Depósito a Prazo Rendimento|Página oficial|https://www.finantia.com/pt/banca-privada/depositos-a-prazo/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial Finantia confirma Rendimento. Usar como fonte principal.
Banco Carregosa|Welcome Boost|Preçário/PDF|https://www.bancocarregosa.com/pt/repositorio/precarios/folheto-de-comissoes-e-despesas-e-de-taxas-de-juro.pdf|TANB;Prazo;Mínimo;Máximo;Renovação|Validado|Sim|Preçário oficial. Usar como fonte principal para Welcome Boost.
Banco Carregosa|Welcome Boost|Página oficial|https://www.bancocarregosa.com/nextgen/pt/depositos-a-prazo/|TANB;Prazo;Mínimo|Validado parcial|Sim|Página oficial NextGen. Pode bloquear validação automática com erro 403.
Banco Carregosa|Depósito Bem-Vindo|Página oficial|https://www.bancocarregosa.com/pt/solucoes-de-poupanca-e-investimento/depositos-a-prazo/bem-vindo/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página oficial do Depósito Bem-Vindo. Pode bloquear validação automática com erro 403.
Banco Carregosa|Depósito Bem-Vindo|FIN/PDF|https://www.bancocarregosa.com/pt/repositorio/fins-dps/fin-dp-bem-vindo.pdf|TANB;Prazo;Mínimo;Máximo;Mobilização;Novos clientes|Validado|Sim|FIN oficial do Depósito a Prazo Banco Carregosa Bem-Vindo. Usar como controlo.
Bison Bank|DP Bison Rendimento Premium|Página oficial|https://bisonbank.com/pt-pt/servicos-de-private-banking/dp-bison-rendimento-premium/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado parcial|Sim|Página oficial do DP Bison Rendimento Premium. Usar como fonte secundária.
Bison Bank|DP Bison Rendimento Premium|FIN/PDF|https://bisonbank.com/wp-content/uploads/2026/04/IMP_015729-FIN_SIS_DP-Bison-Rendimento-Premium_V11.pdf|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|FIN oficial recente do DP Bison Rendimento Premium. Usar como fonte principal.
Banco Atlântico Europa|DP Global Living|FIN/PDF|https://www.atlantico.eu/DocsGenerator/Public/DownloadFile?fileName=DPATLM1EUR360.pdf|TANB;Prazo;Mínimo;Máximo;Novos montantes;Mobilização|Validado|Sim|FIN oficial do Depósito a Prazo Global Living EUR. Usar como fonte principal.
Banco Atlântico Europa|DP Global Living|Página oficial|https://www.atlantico.eu/particulares/poupanca/prazo-fixo|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado parcial|Sim|Página oficial de poupança/prazo fixo mostra DP Global Living. Usar como fonte secundária.
Banco BNI Europa|Depósito a Prazo|Página oficial|https://www.bnieuropa.pt/particulares/depositos-a-prazo/|TANB;Prazo;Mínimo;Máximo;Mobilização|Por validar|Sim|Fonte oficial provável para depósitos a prazo BNI Europa. Confirmar condições por prazo antes de validação final.
